cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie
CLMPE,1083.0,CHLORPYRIPHOS ÉTHYL,Chlorpyriphos éthyl,2921-88-2,pesticides
HCHD,1202.0,HCH DELTA,HCH delta,319-86-8,pesticides
CBTM,1333.0,CARBÉTAMIDE,Carbétamide,16118-49-3,pesticides
PROSULF,2534.0,PROSULFURON,Prosulfuron,94125-34-5,pesticides
HEP,1197.0,HEPTACHLORE,Heptachlore,76-44-8,pesticides
HEOD,1173.0,DIELDRINE,Dieldrine,60-57-1,pesticides
HCHA,1200.0,HCH ALPHA,HCH alpha,319-84-6,pesticides
ACET,5579.0,ACÉTAMIPRID,Acétamiprid,135410-20-7,pesticides
MTBR,1515.0,MÉTOBROMURON,Métobromuron,3060-89-7,pesticides
TRIF,1289.0,TRIFLURALINE,Trifluraline,1582-09-08,pesticides
FIPRO,2009.0,FIPRONIL,Fipronil,120068-37-3,pesticides
FCLRD,1675.0,FLUROCHLORIDONE,Flurochloridone,61213-25-0,pesticides
CLETHO,2978.0,CLETHODIME,Clethodime,99129-21-2,pesticides
CLMQ,5554.0,CHLORMEQUAT,Chlormequat,7003-89-6,pesticides
CPPH,1474.0,CHLORPROPHAME,Chlorprophame,101-21-3,pesticides
SULFRN,2085.0,SULFOSULFURON,Sulfosulfuron,141776-32-1,pesticides
CARBR,1130.0,CARBOFURAN,Carbofuran,1563-66-2,pesticides
CYCLOXY,2729.0,CYCLOXYDIME,Cycloxydime,101205-02-1,pesticides
GFST,1526.0,GLUFOSINATE,Glufosinate,51276-47-2,pesticides
MNR,1228.0,MONURON,Monuron,150-68-5,pesticides
PROPAMO,6398.0,PROPAMOCARBE,Propamocarbe,24579-73-5,pesticides
TRBNURO,2064.0,TRIBENURON-MÉTHYLE,Tribenuron-méthyle,101200-48-0,pesticides
DNOC,1490.0,DINITROCRÉSOL,Dinitrocrésol,534-52-1,pesticides
DIMTH,1175.0,DIMÉTHOATE,Diméthoate,60-51-5,pesticides
MTBZTZ,1216.0,MÉTABENZTHIAZURON,Métabenzthiazuron,18691-97-9,pesticides
TBTR,1542.0,THÉBUTHIURON,Thébuthiuron,34014-18-1,pesticides
DSEB,1491.0,DINOSEB,Dinoseb,88-85-7,pesticides
CHLPM,1540.0,CHLORPYRIPHOS MÉTHYL,Chlorpyriphos méthyl,5598-13-0,pesticides
FSLZ,1194.0,FLUSILAZOL,Flusilazol,85509-19-9,pesticides
DCFL,1172.0,DICOFOL,Dicofol,115-32-2,pesticides
CLOT,6389.0,CLOTHIANIDINE,Clothianidine,210880-92-5,pesticides
CFVP,1464.0,CHLORFENVINPHOS,Chlorfenvinphos,470-90-6,pesticides
PYRAC,2576.0,PYRACLOSTROBINE,Pyraclostrobine,175013-18-0,pesticides
DDT44,1148.0,"DDT-4,4'","DDT-4,4'",50-29-3,pesticides
FENBUCO,1906.0,FENBUCONAZOLE,Fenbuconazole,114369-43-6,pesticides
THIAMET,6390.0,THIAMETHOXAM,Thiamethoxam,153719-23-4,pesticides
DDVP,1170.0,DICHLORVOS,Dichlorvos,62-73-7,pesticides
FLAZASU,1939.0,FLAZASULFURON,Flazasulfuron,104040-78-0,pesticides
PYROX,7340.0,PYROXSULAME,Pyroxsulame,422556-08-9,pesticides
PROM,1254.0,PROMÉTHRINE,Prométhrine,7287-19-6,pesticides
QUINOXY,2028.0,QUINOXYFEN,Quinoxyfen,124495-18-7,pesticides
IMAT,1695.0,IMAZAMÉTHABENZ,Imazaméthabenz,100728-84-5,pesticides
CLTHAL,1473.0,CHLOROTHALONIL,Chlorothalonil,1897-45-6,pesticides
IPD,1206.0,IPRODIONE,Iprodione,36734-19-7,pesticides
IMATMET,1911.0,IMAZAMÉTHABENZ-MÉTHYL,Imazaméthabenz-méthyl,81405-85-8,pesticides
DIAZ,1157.0,DIAZINON,Diazinon,333-41-5,pesticides
SECB,1262.0,SECBUMÉTON,Secbuméton,26259-45-0,pesticides
ENDOB,1179.0,ENDOSULFAN BÉTA,Endosulfan béta,33213-65-9,pesticides
ENDOA,1178.0,ENDOSULFAN ALPHA,Endosulfan alpha,959-98-8,pesticides
DICHLB,1679.0,DICHLOBÉNIL,Dichlobénil,1194-65-6,pesticides
PRT,1523.0,PERMÉTHRINE,Perméthrine,52645-53-1,pesticides
DIMEFUR,1870.0,DIMÉFURON,Diméfuron,34205-21-5,pesticides
CLOPY,1810.0,CLOPYRALID,Clopyralid,1702-17-6,pesticides
CYM,1139.0,CYMOXANIL,Cymoxanil,57966-95-7,pesticides
SEBUT,1923.0,SÉBUTHYLAZINE,Sébuthylazine,7286-69-3,pesticides
ANTHRAQ,2013.0,ANTHRAQUINONE (PESTICIDE),Anthraquinone (pesticide),84-65-1,pesticides
MYCLOSS,1881.0,MYCLOBUTANIL,Myclobutanil,88671-89-0,pesticides
FORASUL,2806.0,FORAMSULFURON,Foramsulfuron,173159-57-4,pesticides
CYANZ,1137.0,CYANAZINE,Cyanazine,21725-46-2,pesticides
DMTRY,1155.0,DESMÉTRYNE,Desmétryne,1014-69-3,pesticides
TRINEXA,2096.0,TRINÉXAPAC-ÉTHYL,Trinéxapac-éthyl,95266-40-3,pesticides
TRIFLX,2678.0,TRIFLOXYSTROBINE,Trifloxystrobine,141517-21-7,pesticides
DTINE,1149.0,DELTAMÉTHRINE,Deltaméthrine,52918-63-5,pesticides
CYBUT,1935.0,CYBUTRYNE,Cybutryne,28159-98-0,pesticides
THIACLO,5671.0,THIACLOPRIDE,Thiaclopride,111988-49-9,pesticides
KRESOXI,1950.0,KRESOXIM-MÉTHYLE,Kresoxim-méthyle,143390-89-0,pesticides
HCHTOT4,5537.0,HCH ALPHA+BETA+DELTA+GAMMA,HCH alpha+beta+delta+gamma,,pesticides
CANT,7500.0,CHLORANTRANILIPROLE,Chlorantraniliprole,500008-45-7,pesticides
IMAZ,1704.0,IMAZALILE,Imazalile,35554-44-0,pesticides
BFNX,1119.0,BIFENOX,Bifenox,42576-02-03,pesticides
TLL,1281.0,TRIALLATE,Triallate,2303-17-5,pesticides
IOXY,1205.0,IOXYNIL,Ioxynil,1689-83-4,pesticides
ISOXAFL,1945.0,ISOXAFLUTOLE,Isoxaflutole,141112-29-0,pesticides
DDT24,1147.0,"DDT-2,4'","DDT-2,4'",0789-02-06,pesticides
BMUCON,1860.0,BROMUCONAZOLE,Bromuconazole,116255-48-2,pesticides
FLOAMD,6393.0,FLONICAMIDE,Flonicamide,158062-67-0,pesticides
FLUXA,7342.0,FLUXAPYROXAD,Fluxapyroxad,907204-31-3,pesticides
FTFL,1503.0,FLUTRIAFOL,Flutriafol,76674-21-0,pesticides
245T,1264.0,"2,4,5-T","2,4,5-T",93-76-5,pesticides
MEPIQUA,1969.0,MEPIQUAT,Mepiquat,15302-91-7,pesticides
BFLN,1112.0,BENFLURALINE,Benfluraline,1861-40-1,pesticides
FENOXY,1967.0,FENOXYCARBE,Fenoxycarbe,79127-80-3,pesticides
DIQUAT,1699.0,DIQUAT,Diquat,2764-72-9,pesticides
FLORAS,2810.0,FLORASULAM,Florasulam,145701-23-1,pesticides
CBRYL,1463.0,CARBARYL,Carbaryl,63-25-2,pesticides
CHINE,1094.0,LAMBDA CYHALOTHRINE,Lambda Cyhalothrine,91465-08-06,pesticides
MCPB,1213.0,"2,4-MCPB","2,4-MCPB",94-81-5,pesticides
EFOSITE,1975.0,FOSETYL-ALUMINIUM,Fosetyl-aluminium,39148-24-8,pesticides
BFINE,1120.0,BIFENTHRINE,Bifenthrine,82657-04-03,pesticides
TRSULFM,2991.0,TRIFLUSULFURON-METHYL,Triflusulfuron-methyl,126535-15-7,pesticides
PACLOBU,2545.0,PACLOBUTRAZOLE,Paclobutrazole,76738-62-0,pesticides
MALTH,1210.0,MALATHION,Malathion,121-75-5,pesticides
PARTHM,1233.0,PARATHION MÉTHYL,Parathion méthyl,298-00-0,pesticides
MLNR,1227.0,MONOLINURON,Monolinuron,1746-81-2,pesticides
TDMF,1544.0,TRIADIMÉFON,Triadiméfon,43121-43-3,pesticides
PARTH,1232.0,PARATHION ÉTHYL,Parathion éthyl,56-38-2,pesticides
MTZ,1222.0,MÉTOXURON,Métoxuron,19937-59-8,pesticides
OXYFLUO,1952.0,OXYFLUORFENE,Oxyfluorfene,42874-03-03,pesticides
DFB,1488.0,DIFLUBENZURON,Diflubenzuron,35367-38-5,pesticides
TEFLUTH,1953.0,TEFLUTHRINE,Tefluthrine,79538-32-2,pesticides
EPROP,1495.0,ETHOPROPHOS,Ethoprophos,13194-48-4,pesticides
ASULAME,1965.0,ASULAME,Asulame,3337-71-1,pesticides
FPYRM,2547.0,FLUROXYPIR-MEPTYL,Fluroxypir-meptyl,81406-37-3,pesticides
METRAF,5654.0,METRAFENONE,Metrafenone,220899-03-6,pesticides
BIX,7345.0,BIXAFEN,Bixafen,581809-46-3,pesticides
ENDOT,1743.0,ENDOSULFAN TOTAL,Endosulfan total,115-29-7,pesticides
ZOXAMID,2858.0,ZOXAMIDE,Zoxamide,156052-68-5,pesticides
HXCZ,1405.0,HEXACONAZOLE,Hexaconazole,79983-71-4,pesticides
BAX,1687.0,BÉNALAXYL,Bénalaxyl,71626-11-4,pesticides
PENCYCU,1887.0,PENCYCURON,Pencycuron,66063-05-06,pesticides
PROCYM,1664.0,PROCYMIDONE,Procymidone,32809-16-8,pesticides
TRITO,7087.0,TRITOSULFURON,Tritosulfuron,142469-14-5,pesticides
PYRMM,1261.0,PYRIMIPHOS MÉTHYL,Pyrimiphos méthyl,29232-93-7,pesticides
FLUAZB,1825.0,FLUAZIFOP BUTYL,Fluazifop butyl,69806-50-4,pesticides
FENHEXA,2743.0,FENHEXAMID,Fenhexamid,126833-17-8,pesticides
MTHC,1510.0,MÉTHIOCARB,Méthiocarb,2032-65-7,pesticides
ACIFLUO,1970.0,ACIFLUORFEN,Acifluorfen,50594-66-6,pesticides
RSFU,1892.0,RIMSULFURON,Rimsulfuron,122931-48-0,pesticides
PICOX,2669.0,PICOXYSTROBINE,Picoxystrobine,117428-22-5,pesticides
TCM,7517.0,THIENCARBAZONE-METHYL,Thiencarbazone-methyl,317815-83-1,pesticides
24DB,1142.0,"2,4-DB","2,4-DB",94-82-6,pesticides
FOSTHIA,2744.0,FOSTHIAZATE,Fosthiazate,98886-44-3,pesticides
PYMET,5416.0,PYMÉTROZINE,Pymétrozine,123312-89-0,pesticides
PROTHIO,5603.0,PROTHIOCONAZOLE,Prothioconazole,178928-70-6,pesticides
PICLO,1708.0,PICLORAME,Piclorame,01/02/1918,pesticides
FLUPYR,2565.0,FLUPYRSULFURON-MÉTHYLE,Flupyrsulfuron-méthyle,144740-54-5,pesticides
MTMY,1218.0,MÉTHOMYL,Méthomyl,16752-77-5,pesticides
PINOX,7057.0,PINOXADEN,Pinoxaden,243973-20-8,pesticides
PHM,1665.0,PHOXIME,Phoxime,14816-18-3,pesticides
FLUQUIN,2056.0,FLUQUINCONAZOLE,Fluquinconazole,136426-54-5,pesticides
IPROVAL,2951.0,IPROVALICARB,Iprovalicarb,140923-17-7,pesticides
FMTH,1501.0,FLUOMÉTURON,Fluométuron,2164-17-2,pesticides
PHOSL,1237.0,PHOSALONE,Phosalone,2310-17-0,pesticides
PPX,1535.0,PROPOXUR,Propoxur,114-26-1,pesticides
ENDR,1181.0,ENDRINE,Endrine,72-20-8,pesticides
ACYINE,1812.0,ALPHAMÉTHRINE,Alphaméthrine,67375-30-8,pesticides
MOL,1707.0,MOLINATE,Molinate,2212-67-1,pesticides
FLPIDE,7499.0,FLUOPICOLIDE,Fluopicolide,239110-15-7,pesticides
OXDM,1231.0,OXYDÉMÉTON MÉTHYL,Oxydéméton méthyl,0301-12-2,pesticides
CYAZOF,5567.0,CYAZOFAMIDE,Cyazofamide,120116-88-3,pesticides
PROMN,1711.0,PROMÉTON,Prométon,1610-18-0,pesticides
FENOXA,1973.0,FÉNOXAPROP-ÉTHYL,Fénoxaprop-éthyl,66441-23-4,pesticides
NBR,1520.0,NÉBURON,Néburon,555-37-3,pesticides
PECNZ,1762.0,PENCONAZOLE,Penconazole,66246-88-6,pesticides
BTRON,1531.0,BUTURON,Buturon,3766-60-7,pesticides
TDMN,1280.0,TRIADIMENOL,Triadimenol,55219-65-3,pesticides
PPCHL,1712.0,PROPACHLORE,Propachlore,1918-16-7,pesticides
MTX,1511.0,MÉTHOXYCHLORE,Méthoxychlore,72-43-5,pesticides
BTTNL,1529.0,BITERTANOL,Bitertanol,55179-31-2,pesticides
TITCNZ,2992.0,TRITICONAZOLE,Triticonazole,131983-72-7,pesticides
CLOQMEX,2018.0,CLOQUINTOCET-MEXYL,Cloquintocet-mexyl,99607-70-2,pesticides
PETHO,7519.0,PETHOXAMIDE,Pethoxamide,106700-29-2,pesticides
ESFENV,1809.0,ESFENVALÉRATE,Esfenvalérate,66230-04-04,pesticides
CYSUL,7801.0,CYPROSULFAMIDE,Cyprosulfamide,221667-31-8,pesticides
BRXYOC,1941.0,BROMOXYNIL OCTANOATE,Bromoxynil octanoate,1689-99-2,pesticides
DINICO,1871.0,DINICONAZOLE,Diniconazole,83657-24-3,pesticides
CARBOX,2975.0,CARBOXINE,Carboxine,5234-68-4,pesticides
TBZDE,1895.0,TÉBUFÉNOZIDE,Tébufénozide,112410-23-8,pesticides
TFBZURO,1897.0,TEFLUBENZURON,Teflubenzuron,83121-18-0,pesticides
FENAMID,2057.0,FÉNAMIDONE,Fénamidone,161326-34-7,pesticides
FLUAZF,6545.0,FLUAZIFOP,Fluazifop,69335-91-7,pesticides
CPC,1684.0,CHLOROPHACINONE,Chlorophacinone,3691-35-8,pesticides
SITN,5477.0,SIMÉTRYNE,Simétryne,1014-70-6,pesticides
CYROMAZ,2897.0,CYROMAZINE,Cyromazine,66215-27-8,pesticides
MEFENPD,2930.0,MEFENPYR DIETHYL,Mefenpyr diethyl,135590-91-9,pesticides
MTHION,1217.0,MÉTHIDATHION,Méthidathion,950-37-8,pesticides
BROMADI,1859.0,BROMADIOLONE,Bromadiolone,28772-56-7,pesticides
QUIZO,2069.0,QUIZALOFOP,Quizalofop,76578-12-6,pesticides
DITHIAN,1966.0,DITHIANON,Dithianon,3347-22-6,pesticides
FERI,1185.0,FÉNARIMOL,Fénarimol,60168-88-9,pesticides
FLUTO,2985.0,FLUTOLANIL,Flutolanil,66332-96-5,pesticides
TFU,1714.0,THIAZFLURON,Thiazfluron,25366-23-8,pesticides
THIOPM,1717.0,THIOPHANATE MÉTHYL,Thiophanate méthyl,23564-05-08,pesticides
OXYM,1850.0,OXAMYL,Oxamyl,23135-22-0,pesticides
THIODIC,1093.0,THIODICARBE,Thiodicarbe,59669-26-0,pesticides
THIDIAZ,5934.0,THIDIAZURON,Thidiazuron,51707-55-2,pesticides
BUT,1126.0,BUTRALINE,Butraline,33629-47-9,pesticides
CSFU,1353.0,CHLORSULFURON,Chlorsulfuron,64902-72-3,pesticides
CLODINA,2095.0,CLODINAFOP-PROPARGYL,Clodinafop-propargyl,105512-06-9,pesticides
MPNI,5533.0,MÉPANIPYRIM,Mépanipyrim,110235-47-7,pesticides
COMLI,1696.0,CYCLURON,Cycluron,2163-69-1,pesticides
FXAS,5638.0,FLUOXASTROBINE,Fluoxastrobine,361377-29-9,pesticides
PRQT,1522.0,PARAQUAT,Paraquat,4685-14-7,pesticides
PROPAQU,1972.0,PROPAQUIZAFOP,Propaquizafop,111479-05-1,pesticides
CADUSAF,1863.0,CADUSAFOS,Cadusafos,95465-99-9,pesticides
AZINE,1110.0,AZINPHOS ÉTHYL,Azinphos éthyl,2642-71-9,pesticides
CLAHA,7010.0,CHLORDANE ALPHA,Chlordane alpha,5103-71-9,pesticides
TEMBO,7086.0,TEMBOTRIONE,Tembotrione,335104-84-2,pesticides
FOLPEL,1192.0,FOLPEL,Folpel,0133-07-03,pesticides
TBPYR,1896.0,TÉBUFENPYRAD,Tébufenpyrad,119168-77-3,pesticides
FLUAZN,2984.0,FLUAZINAM,Fluazinam,79622-59-6,pesticides
DCFMT,1171.0,DICLOFOP MÉTHYL,Diclofop méthyl,51338-27-3,pesticides
IALDR,1207.0,ISODRINE,Isodrine,465-73-6,pesticides
TRIASUL,1914.0,TRIASULFURON,Triasulfuron,82097-50-5,pesticides
FENIT,1187.0,FENITROTHION,Fenitrothion,122-14-5,pesticides
HXFLUMU,1875.0,HEXAFLUMURON,Hexaflumuron,86479-06-03,pesticides
CYFLTH,1681.0,CYFLUTHRINE,Cyfluthrine,68359-37-5,pesticides
CARFENE,2976.0,CARFENTRAZONE ÉTHYLE,Carfentrazone éthyle,128639-02-1,pesticides
CLBROMU,2016.0,CHLORBROMURON,Chlorbromuron,13360-45-7,pesticides
FLUXR,1676.0,FLUFÉNOXURON,Flufénoxuron,101463-69-8,pesticides
VMDT,1290.0,VAMIDOTHION,Vamidothion,2275-23-2,pesticides
ADC,1102.0,ALDICARBE,Aldicarbe,0116-06-03,pesticides
OOA,1230.0,OMÉTHOATE,Ométhoate,1113-02-06,pesticides
CHLX,1683.0,CHLOROXURON,Chloroxuron,1982-47-4,pesticides
HALOX,2047.0,HALOXYFOP,Haloxyfop,69806-34-4,pesticides
MCPO,2750.0,MECOPROP-1-OCTYL ESTER,Mecoprop-1-octyl ester,161922-37-8,pesticides
HCHE,2046.0,HCH EPSILON,HCH epsilon,07/10/6108,pesticides
FOSETYL,1816.0,FOSETYL,Fosetyl,15845-66-6,pesticides
CLAHB,1757.0,CHLORDANE BÉTA,Chlordane béta,5103-74-2,pesticides
PYRX,1663.0,PYRIFÉNOX,Pyrifénox,88283-41-4,pesticides
IMAZAPY,2090.0,IMAZAPYR,Imazapyr,81334-34-1,pesticides
ETHION,1183.0,ETHION,Ethion,0563-12-2,pesticides
FLUMIOX,2023.0,FLUMIOXAZINE,Flumioxazine,103361-09-7,pesticides
EKALUX,1891.0,QUINALPHOS,Quinalphos,13593-03-08,pesticides
METOSUL,1912.0,MÉTOSULAM,Métosulam,139528-85-1,pesticides
TTAZINE,5842.0,TRIETAZINE,Trietazine,1912-26-1,pesticides
BUPIRI,1861.0,BUPIRIMATE,Bupirimate,41483-43-6,pesticides
ETHPH,2093.0,ETHEPHON,Ethephon,16672-87-0,pesticides
FOMESAF,2075.0,FOMESAFEN,Fomesafen,72178-02-0,pesticides
HTZ,1876.0,HEXYTHIAZOX,Hexythiazox,78587-05-0,pesticides
TAUFLU,1193.0,FLUVALINATE-TAU,Fluvalinate-tau,102851-06-9,pesticides
FENTH,1190.0,FENTHION,Fenthion,55-38-9,pesticides
BENFURA,2924.0,BENFURACARBE,Benfuracarbe,82560-54-1,pesticides
PPIT,1255.0,PROPARGITE,Propargite,2312-35-8,pesticides
TERB,1267.0,TERBUPHOS,Terbuphos,13071-79-9,pesticides
DCLORMI,2929.0,DICHLORMIDE,Dichlormide,37764-25-3,pesticides
FONO,1674.0,FONOFOS,Fonofos,944-22-9,pesticides
DMTHY,5737.0,DIMETHAMETRYN,Dimethametryn,22936-75-0,pesticides
MEFENA,1968.0,MEFENACET,Mefenacet,73250-68-7,pesticides
BEFLU,7522.0,BEFLUBUTAMIDE,Beflubutamide,113614-08-7,pesticides
HXPEE,1833.0,HALOXYFOP ÉTHOXYÉTHYL,Haloxyfop éthoxyéthyl,87237-48-7,pesticides
MANDIP,6399.0,MANDIPROPAMIDE,Mandipropamide,374726-62-2,pesticides
FEINE,1188.0,FENPROPATHRINE,Fenpropathrine,39515-41-8,pesticides
SIDURON,1893.0,SIDURON,Siduron,1982-49-6,pesticides
TCF,1287.0,TRICHLORFON,Trichlorfon,52-68-6,pesticides
VCLZ,1291.0,VINCHLOZOLINE,Vinchlozoline,50471-44-8,pesticides
ACNT,1310.0,ACRINATHRINE,Acrinathrine,101007-06-1,pesticides
FLUOPYR,7649.0,FLUOPYRAM,Fluopyram,658066-35-4,pesticides
AZACONA,2014.0,AZACONAZOLE,Azaconazole,60207-31-0,pesticides
TRFLUM,1902.0,TRIFLUMURON,Triflumuron,64628-44-0,pesticides
HYDMAL,5645.0,HYDRAZIDE MALEÏQUE,Hydrazide maleïque,123-33-1,pesticides
TCVP,1277.0,TÉTRACHLORVINPHOS,Tétrachlorvinphos,22248-79-9,pesticides
